crym,admd_c,ana_mgpo_nm,ana_ccd_nm,admd_nm,tco_btc_nm,dayofweek,sl_am,sl_ct
202210,1111051500,서울특별시,종로구,청운효자동,한식,Sun,1617690,31
202210,1111051500,서울특별시,종로구,청운효자동,한식,Mon,1058000,18
202210,1111051500,서울특별시,종로구,청운효자동,한식,Tue,786000,24
202210,1111051500,서울특별시,종로구,청운효자동,한식,Wed,1086920,28
202210,1111051500,서울특별시,종로구,청운효자동,한식,Thu,590900,23
202210,1111051500,서울특별시,종로구,청운효자동,한식,Fri,1409900,43
202210,1111051500,서울특별시,종로구,청운효자동,한식,Sat,1624800,37
202210,1111051500,서울특별시,종로구,청운효자동,일식,Sun,174000,3
202210,1111051500,서울특별시,종로구,청운효자동,일식,Tue,383000,6
202210,1111051500,서울특별시,종로구,청운효자동,일식,Wed,36000,2
202210,1111051500,서울특별시,종로구,청운효자동,일식,Thu,206700,6
202210,1111051500,서울특별시,종로구,청운효자동,일식,Fri,157500,4
202210,1111051500,서울특별시,종로구,청운효자동,일식,Sat,224000,2
202210,1111051500,서울특별시,종로구,청운효자동,중식,Sun,274900,6
202210,1111051500,서울특별시,종로구,청운효자동,중식,Mon,142400,5
202210,1111051500,서울특별시,종로구,청운효자동,중식,Tue,138000,4
202210,1111051500,서울특별시,종로구,청운효자동,중식,Wed,278000,7
202210,1111051500,서울특별시,종로구,청운효자동,중식,Thu,119000,4
202210,1111051500,서울특별시,종로구,청운효자동,중식,Fri,182500,8
202210,1111051500,서울특별시,종로구,청운효자동,중식,Sat,171000,6
202210,1111051500,서울특별시,종로구,청운효자동,양식,Sun,444000,9
202210,1111051500,서울특별시,종로구,청운효자동,양식,Mon,213500,8
202210,1111051500,서울특별시,종로구,청운효자동,양식,Tue,368050,7
202210,1111051500,서울특별시,종로구,청운효자동,양식,Wed,80700,4
202210,1111051500,서울특별시,종로구,청운효자동,양식,Thu,609800,10
202210,1111051500,서울특별시,종로구,청운효자동,양식,Fri,260750,9
202210,1111051500,서울특별시,종로구,청운효자동,양식,Sat,105700,4
202210,1111051500,서울특별시,종로구,청운효자동,부페,Mon,16000,1
202210,1111051500,서울특별시,종로구,청운효자동,부페,Sat,8000,1
202210,1111051500,서울특별시,종로구,청운효자동,패스트푸드점,Sun,125800,9
202210,1111051500,서울특별시,종로구,청운효자동,패스트푸드점,Mon,73300,8
202210,1111051500,서울특별시,종로구,청운효자동,패스트푸드점,Tue,79800,9
202210,1111051500,서울특별시,종로구,청운효자동,패스트푸드점,Wed,62500,5
202210,1111051500,서울특별시,종로구,청운효자동,패스트푸드점,Thu,16000,2
202210,1111051500,서울특별시,종로구,청운효자동,패스트푸드점,Fri,148100,9
202210,1111051500,서울특별시,종로구,청운효자동,패스트푸드점,Sat,81500,8
202210,1111051500,서울특별시,종로구,청운효자동,패밀리레스토랑,Sun,55140,2
202210,1111051500,서울특별시,종로구,청운효자동,패밀리레스토랑,Mon,16400,1
202210,1111051500,서울특별시,종로구,청운효자동,패밀리레스토랑,Wed,14500,1
202210,1111051500,서울특별시,종로구,청운효자동,패밀리레스토랑,Thu,63500,2
202210,1111051500,서울특별시,종로구,청운효자동,패밀리레스토랑,Fri,35800,2
202210,1111051500,서울특별시,종로구,청운효자동,패밀리레스토랑,Sat,79890,2
202210,1111051500,서울특별시,종로구,청운효자동,기타,Sun,646900,34
202210,1111051500,서울특별시,종로구,청운효자동,기타,Mon,682800,29
202210,1111051500,서울특별시,종로구,청운효자동,기타,Tue,315100,27
202210,1111051500,서울특별시,종로구,청운효자동,기타,Wed,315970,33
202210,1111051500,서울특별시,종로구,청운효자동,기타,Thu,837800,31
202210,1111051500,서울특별시,종로구,청운효자동,기타,Fri,587900,35
202210,1111051500,서울특별시,종로구,청운효자동,기타,Sat,648400,41
202210,1111053000,서울특별시,종로구,사직동,한식,Sun,2732100,62
202210,1111053000,서울특별시,종로구,사직동,한식,Mon,1861200,58
202210,1111053000,서울특별시,종로구,사직동,한식,Tue,2098920,63
202210,1111053000,서울특별시,종로구,사직동,한식,Wed,2375800,57
202210,1111053000,서울특별시,종로구,사직동,한식,Thu,1438800,51
202210,1111053000,서울특별시,종로구,사직동,한식,Fri,2908400,69
202210,1111053000,서울특별시,종로구,사직동,한식,Sat,2713120,75
202210,1111053000,서울특별시,종로구,사직동,일식,Sun,190000,3
202210,1111053000,서울특별시,종로구,사직동,일식,Mon,409000,5
202210,1111053000,서울특별시,종로구,사직동,일식,Tue,143900,7
202210,1111053000,서울특별시,종로구,사직동,일식,Wed,307000,8
202210,1111053000,서울특별시,종로구,사직동,일식,Thu,166800,7
202210,1111053000,서울특별시,종로구,사직동,일식,Fri,423100,13
202210,1111053000,서울특별시,종로구,사직동,일식,Sat,502800,9
202210,1111053000,서울특별시,종로구,사직동,중식,Sun,1126300,9
202210,1111053000,서울특별시,종로구,사직동,중식,Mon,139900,7
202210,1111053000,서울특별시,종로구,사직동,중식,Tue,348600,10
202210,1111053000,서울특별시,종로구,사직동,중식,Wed,252920,7
202210,1111053000,서울특별시,종로구,사직동,중식,Thu,173200,9
202210,1111053000,서울특별시,종로구,사직동,중식,Fri,403500,13
202210,1111053000,서울특별시,종로구,사직동,중식,Sat,199500,7
202210,1111053000,서울특별시,종로구,사직동,양식,Sun,567000,14
202210,1111053000,서울특별시,종로구,사직동,양식,Mon,134200,9
202210,1111053000,서울특별시,종로구,사직동,양식,Tue,97640,8
202210,1111053000,서울특별시,종로구,사직동,양식,Wed,455500,11
202210,1111053000,서울특별시,종로구,사직동,양식,Thu,167700,15
202210,1111053000,서울특별시,종로구,사직동,양식,Fri,454900,17
202210,1111053000,서울특별시,종로구,사직동,양식,Sat,268600,7
202210,1111053000,서울특별시,종로구,사직동,부페,Sat,4000,1
202210,1111053000,서울특별시,종로구,사직동,패스트푸드점,Sun,96000,9
202210,1111053000,서울특별시,종로구,사직동,패스트푸드점,Mon,88600,7
202210,1111053000,서울특별시,종로구,사직동,패스트푸드점,Tue,58600,5
202210,1111053000,서울특별시,종로구,사직동,패스트푸드점,Wed,22200,3
202210,1111053000,서울특별시,종로구,사직동,패스트푸드점,Thu,21700,4
202210,1111053000,서울특별시,종로구,사직동,패스트푸드점,Fri,87250,11
202210,1111053000,서울특별시,종로구,사직동,패스트푸드점,Sat,291270,21
202210,1111053000,서울특별시,종로구,사직동,패밀리레스토랑,Sun,27930,1
202210,1111053000,서울특별시,종로구,사직동,패밀리레스토랑,Mon,16500,1
202210,1111053000,서울특별시,종로구,사직동,패밀리레스토랑,Tue,7900,1
202210,1111053000,서울특별시,종로구,사직동,패밀리레스토랑,Sat,35500,1
202210,1111053000,서울특별시,종로구,사직동,기타,Sun,765000,42
202210,1111053000,서울특별시,종로구,사직동,기타,Mon,915900,49
202210,1111053000,서울특별시,종로구,사직동,기타,Tue,672150,57
202210,1111053000,서울특별시,종로구,사직동,기타,Wed,810000,54
202210,1111053000,서울특별시,종로구,사직동,기타,Thu,592300,49
202210,1111053000,서울특별시,종로구,사직동,기타,Fri,1443800,72
202210,1111053000,서울특별시,종로구,사직동,기타,Sat,1483200,77
202210,1111054000,서울특별시,종로구,삼청동,한식,Sun,938100,12
